Rank,Ticker,Chart,hh,hl,trend_structure,trend_score,current_price,high_6m,low_6m,pct_from_6m_high,RVOL,Velocity %,momentum_score,sector,industry,market_cap,rev_growth_pct,earnings_growth_pct,profit_margin_pct,trailing_pe,forward_pe,analyst_rec,short_ratio,fund_score,rvol_score,composite
417,HAE,https://www.tradingview.com/symbols/HAE/,True,False,UPTREND,6,87.84,88.59,51.0,-0.8,1.23,77.2,1.5,Healthcare,Medical Devices,3996460800,5.6,2.9,7.1,42.4,15.6,1.91,3.4,6,3.1,4.3
418,BXP,https://www.tradingview.com/symbols/BXP/,True,True,STRONG UPTREND,8,69.71,74.94,48.54,-7.0,0.76,58.4,1.2,Real Estate,REIT - Office,12430089216,3.8,-23.2,9.2,37.5,33.3,2.14,7.8,4,1.9,4.3
419,ELV,https://www.tradingview.com/symbols/ELV/,True,True,STRONG UPTREND,8,394.2,436.24,272.05,-9.6,0.63,71.8,1.4,Healthcare,Healthcare Plans,85489876992,1.4,-13.1,2.5,17.4,13.3,,3.5,4,1.6,4.3
420,MSGE,https://www.tradingview.com/symbols/MSGE/,True,True,STRONG UPTREND,8,76.55,82.79,54.3,-7.5,0.7,69.9,1.4,Communication Services,Entertainment,3621215744,1.6,-35.8,4.8,74.3,30.3,2.11,2.0,4,1.8,4.3
421,DT,https://www.tradingview.com/symbols/DT/,True,False,UPTREND,6,48.97,53.28,31.64,-8.1,1.43,52.0,1.0,Technology,Software - Application,14212507648,16.2,-24.9,7.2,97.9,21.4,1.7,2.0,6,3.6,4.3
422,KYN,https://www.tradingview.com/symbols/KYN/,True,False,UPTREND,6,14.17,15.17,12.7,-6.6,0.88,14.2,1.0,Financial Services,Asset Management,2396515840,17.9,,475.2,4.9,4.9,,1.2,7,2.2,4.2
423,DBD,https://www.tradingview.com/symbols/DBD/,True,False,UPTREND,6,75.38,92.08,67.71,-18.1,0.98,15.3,1.0,Technology,Software - Application,2558893824,1.7,34.2,2.9,25.0,10.7,1.33,8.8,7,2.5,4.2
424,STUB,https://www.tradingview.com/symbols/STUB/,True,True,STRONG UPTREND,8,8.95,14.02,5.74,-36.2,0.59,63.9,1.3,Communication Services,Internet Content & Information,3360163840,12.2,,-102.3,,11.8,2.0,3.2,4,1.5,4.2
425,RNG,https://www.tradingview.com/symbols/RNG/,True,False,UPTREND,6,63.01,64.68,26.18,-2.6,1.16,70.6,1.4,Technology,Software - Application,5283930624,5.9,221.4,4.3,50.4,11.5,2.53,5.5,6,2.9,4.2
426,QTWO,https://www.tradingview.com/symbols/QTWO/,True,False,UPTREND,6,62.81,65.0,40.79,-3.4,0.96,14.8,1.0,Technology,Software - Application,3916498432,12.6,156.5,10.9,44.2,19.1,1.58,5.4,7,2.4,4.2
427,FHI,https://www.tradingview.com/symbols/FHI/,True,False,UPTREND,6,63.16,67.2,51.7,-6.0,0.95,17.3,1.0,Financial Services,Asset Management,4715543040,18.3,19.3,21.3,11.7,10.9,2.88,5.9,7,2.4,4.2
428,GLW,https://www.tradingview.com/symbols/GLW/,True,False,UPTREND,6,165.68,271.78,114.5,-39.0,0.84,60.6,1.2,Technology,Electronic Components,142714814464,16.6,18.5,11.2,76.4,38.3,1.5,1.1,7,2.1,4.2
429,AVTR,https://www.tradingview.com/symbols/AVTR/,True,True,STRONG UPTREND,8,13.59,14.62,7.26,-7.0,0.85,75.1,1.5,Healthcare,Medical Instruments & Supplies,9191716864,0.5,-37.4,-8.8,,15.4,2.69,6.6,3,2.1,4.2
430,BAP,https://www.tradingview.com/symbols/BAP/,True,False,UPTREND,6,386.93,413.25,297.92,-6.4,0.5,49.3,1.0,Financial Services,Banks - Regional,30740938752,25.6,16.1,32.9,14.7,11.3,1.64,3.0,8,1.2,4.2
431,SXI,https://www.tradingview.com/symbols/SXI/,True,False,UPTREND,6,340.12,363.89,230.72,-6.5,0.85,53.8,1.1,Industrials,Specialty Industrial Machinery,4120527104,2.8,37.4,11.7,39.2,28.7,1.4,3.1,7,2.1,4.2
432,PRKS,https://www.tradingview.com/symbols/PRKS/,True,True,STRONG UPTREND,8,45.03,50.0,28.77,-9.9,1.04,85.4,1.7,Consumer Cyclical,Leisure,2122512768,-1.4,-7.6,8.1,17.9,9.9,2.33,7.1,2,2.6,4.1
433,SYF,https://www.tradingview.com/symbols/SYF/,True,False,UPTREND,6,78.59,79.87,62.55,-1.6,0.73,21.4,1.0,Financial Services,Credit Services,25570893824,0.6,3.6,35.5,8.1,7.5,1.88,5.1,7,1.8,4.1
434,GVA,https://www.tradingview.com/symbols/GVA/,True,False,UPTREND,6,128.32,161.95,108.38,-20.8,1.19,10.3,1.0,Industrials,Engineering & Construction,5615862272,29.3,,-3.3,,16.1,1.8,4.1,6,3.0,4.1
435,AVA,https://www.tradingview.com/symbols/AVA/,True,False,UPTREND,6,38.73,43.1,37.71,-10.1,1.12,6.3,1.0,Utilities,Utilities - Diversified,3243747072,0.5,147.9,11.8,14.0,13.9,2.86,4.8,6,2.8,4.1
436,CVI,https://www.tradingview.com/symbols/CVI/,True,False,UPTREND,6,31.15,39.91,19.56,-21.9,1.03,52.5,1.0,Energy,Oil & Gas Refining & Marketing,3131528192,55.5,,0.8,45.1,16.3,4.17,4.7,6,2.6,4.1
